Designator,Mid X,Mid Y,Rotation,Layer
D1,120.0,-91.0,0.0,top
D2,140.0,-90.0,0.0,top
D3,160.0,-90.0,0.0,top
D4,180.0,-90.0,0.0,top
R1,126.0,-81.0,180.0,top
R2,126.0,-75.0,180.0,top
R3,126.0,-69.0,180.0,top
R4,126.0,-63.0,180.0,top
SW1,120.0,-127.91,0.0,top
SW2,150.0,-114.91,0.0,top
SW3,180.0,-127.91,0.0,top
SW4,150.0,-144.91,0.0,top
U1,150.0,-71.62,0.0,top
